K30A,Padoladiganam KC,500g,574
K30C,Padoladiganam KC,250g,287
K34,Mridweekadi KC,1kg,312
K34A,Mridweekadi KC,500g,158
K34C,Mridweekadi KC,250g,81
K39A,Gulguluthikthakam KC,500g,168
K4,Gandharvahasthadi KC,1kg,231
K41,Prasaranyadi KC,500g,140
K42,Ashtavargam KC,500g,109
K44,Rasnasapthakam KC,500g,98
K44P,Rasnasapthakam KC,1Kg,189
K45A,Vidharyadi KC,500g,126
K4A,Gandharvahasthadi KC,500g,116
K4C,Gandharvahasthadi KC,250g,60
K5,Guluchyadi KC,1kg,207
K50,Pathyakshadhathryadi KC,1kg,161
K50A,Pathyakshadhathryadi KC,500g,81
K55,Indukantham KC,500g,109
K55D,Indukantham KC,50g,14
K55E,Indukantham KC,100g,21
K5A,Guluchyadi KC,500g,105
K5C,Guluchyadi KC,250g,53
K6,Chiruvilwadi KC,1kg,343
K62,Vasaguluchyadi KC,1kg,522
K62A,Vasaguluchyadi KC,500g,263
K62D,Vasaguluchyadi KC,50g,28
K63,Dasamoolam KC,1kg,161
K67,Kaidaryadi KC,1kg,273
K67A,Kaidaryadi KC,500g,140
K67C,Kaidaryadi KC,250g,70
K68,Shadangam KC,50g,28
K68A,Shadangam KC,500g,287
K69,Sahacharadi KC,1kg,259
K69A,Sahacharadi KC,500g,133
K69D,Sahacharadi KC,50g,67
K6A,Chiruvilwadi KC,500g,175
K6C,Chiruvilwadi KC,250g,88
K7,Dasamoolakaduthrayam KC,1kg,256
K70,Gojihwadi KC,1kg,294
K70A,Gojihwadi KC,500g,151
K70C,Gojihwadi KC,100g,32
K71,Phalathrikadi KC,1kg,361
K71A,Phalathrikadi KC,500g,182
K71E,Phalathrikadi KC,100g,39
K72,Pashanabhedadi KC,1kg,287
K72A,Pashanabhedadi KC,500g,147
K72E,Pashanabhedadi KC,100g,32
K77,Brihat/Mahamanjishtathi KC,1kg,406
K77A,Brihat/Mahamanjishtathi KC,500g,214
K77C,Brihat/Mahamanjishtathi KC,250g,119
K78,Aragwadhadi KC,1 KG,1208
K78A,Aragwadhadi KC,500g,609
K78C,Aragwadhadi KC,250g,308
K78E,Aragwadhadi KC,100g,126
K79,Vyaghryadi KC,1000g,410
K79A,Vyaghryadi KC,500g,221
K79C,Vyaghryadi KC,250g,123
K7A,Dasamoolakaduthrayam KC,500g,130
K7C,Dasamoolakaduthrayam KC,250g,67
K8,Drakshadi KC,1Kg,756
K8A,Drakshadi KC,500g,378
K8C,Drakshadi KC,250g,189
K9,Nayopayam KC,1kg,319
K9A,Nayopayam KC,500g,161
K9C,Nayopayam KC,250g,81
P10,Krimighnavti Gulika,100 nos,172
P11,Khadira Gulika,100 nos,546
P12,Gokshuradi Guggulu,100 nos,378
P13,Gopichandanadi Gulika,100 nos,186
P14,Gorochanadi Gulika,100 nos,2386
P15,Chandanadivarthi Gulika,100 nos,588
P16,Chandraprabha Gulika,100 nos,196
P17,Charngeryadi Gulika,100 nos,322
P18,Chukkumthippallyadi Gulika,100 nos,175
P19,Jatheemukuladivarthi Gulika,100 nos,252
P2,Ashtakshari Gulika,100 nos,252
P24,Dasangam Gulika,100 nos,525
P26,Dooshivishari Gulika,100 nos,266
P27,Dhanwantharam Gulika,100 nos,189
P28,Navayasam Gulika,100 nos,315
P31,Pushyanugam Gulika,100 nos,462
P32,Ponkaradi Gulika,100 nos,508
P33,Marmavattu Gulika,100 nos,294
P34,Mandooravatakam Gulika,100 nos,266
P35,Manasamithravatakam Gulika,100 nos,3199
P35A,Manasamithravatakam Gulika,10 nos,322
P36,Mukkamukkadukadi Gulika,100 nos,147
P37,Punarnava Mandooram,100 nos,140
P4,Uramarunnu Gulika,100 nos,140
P41,Vilwadi Gulika,100 nos,252
P42,Vimalavarthi Gulika,100 nos,777
P43,Vettumaran Gulika,100 nos,203
P44,Sivagulika,10 nos,151
P45,Swasanandam Gulika,100 nos,204
P48,Sarvarogakulanthakam Gulika,100 nos,953
P5,Karuthavattu Gulika,100 nos,312
P50,Suryaprabha Gulika,100 nos,123
P55,Vidangadi Gulika,100 nos,259
P56,Thriphaladi Gulika,100 nos,126
P59,Yogarajagulgulu Gulika,100 nos,210
P6,Vayu Gulika,100 nos,315
P67,Laghusuthasekhara Rasam Tablet,100 nos,91
P69,Laksha Guggulu Gulika,100 nos,210
P70,Kanchanara Guggulu,100 nos,224
P8,Kachooradivattugulika,100 nos,256
P81,Rajapravarthinivati,100 nos,151
P82,Sanjeevani Vati,100 nos,74
P84,Punarnava Guggulu,100 nos,238
P85,Sapthavimshathika Guggulu,100 nos,336
P86,Samsamani Vati,100 nos,130
P87,Chitrakadi Gulika,100 nos,235
P88,Lavangadi Gulika,100 nos,196
P89,Prabhakaravati Tablet,100 nos,109
P9,Kaisoragulgulu Gulika,100 nos,273
P93,Thriphala Guggulu,100 nos,298
PT01,Chavanaprasam C.F.(spl),500g,259
PT01A,Chavanaprasam C.F.(spl),250g,121
PT02,Rheumajith,10g,33
PT03,Thenginpookulamrutham,400g,171
PT04,Diabetdrinks,50g,23
PT05,Oushadhi Sanitizer,100ml,36
PT05A,Oushadhi Sanitizer,200ml,66
